Mes,Día,Hora,TemperaturaPromedioHora,TemperaturaPromedioDelMes,TemperaturaNeutraDelMes
1,1,1,18.858064516129033,21.73024193548387,24.536375
1,1,2,17.825806451612905,21.73024193548387,24.536375
1,1,3,16.751612903225805,21.73024193548387,24.536375
1,1,4,16.190322580645162,21.73024193548387,24.536375
1,1,5,15.64516129032258,21.73024193548387,24.536375
1,1,6,15.264516129032257,21.73024193548387,24.536375
1,1,7,14.883870967741935,21.73024193548387,24.536375
1,1,8,15.325806451612904,21.73024193548387,24.536375
1,1,9,18.770967741935483,21.73024193548387,24.536375
1,1,10,21.62258064516129,21.73024193548387,24.536375
1,1,11,23.893548387096775,21.73024193548387,24.536375
1,1,12,25.84193548387097,21.73024193548387,24.536375
1,1,13,27.30322580645161,21.73024193548387,24.536375
1,1,14,28.154838709677417,21.73024193548387,24.536375
1,1,15,28.548387096774192,21.73024193548387,24.536375
1,1,16,28.4741935483871,21.73024193548387,24.536375
1,1,17,27.74516129032258,21.73024193548387,24.536375
1,1,18,26.335483870967742,21.73024193548387,24.536375
1,1,19,24.664516129032258,21.73024193548387,24.536375
1,1,20,23.748387096774195,21.73024193548387,24.536375
1,1,21,22.838709677419356,21.73024193548387,24.536375
1,1,22,21.91290322580645,21.73024193548387,24.536375
1,1,23,20.462903225806453,21.73024193548387,24.536375
1,1,23,20.462903225806453,21.73024193548387,24.536375
1,2,1,18.858064516129033,21.73024193548387,24.536375
1,2,2,17.825806451612905,21.73024193548387,24.536375
1,2,3,16.751612903225805,21.73024193548387,24.536375
1,2,4,16.190322580645162,21.73024193548387,24.536375
1,2,5,15.64516129032258,21.73024193548387,24.536375
1,2,6,15.264516129032257,21.73024193548387,24.536375
1,2,7,14.883870967741935,21.73024193548387,24.536375
1,2,8,15.325806451612904,21.73024193548387,24.536375
1,2,9,18.770967741935483,21.73024193548387,24.536375
1,2,10,21.62258064516129,21.73024193548387,24.536375
1,2,11,23.893548387096775,21.73024193548387,24.536375
